T1,V1,W1
1485927000,230.1020983,231.8915
1485930600,233.3900639,235.1912768
1485934200,238.320511,241.1196394
1485937800,234.9628406,237.351952
1485941400,234.3611012,235.7065781
1485945000,236.5855103,239.1077817
1485948600,238.6051568,240.7772331
1485952200,234.9524277,237.3084925
1485955800,235.9779188,237.6987794
1485959400,239.607221,242.6234846
1485963000,241.1045086,244.0921231
1485966600,239.6314536,242.358689
1485970200,240.4388197,243.1271567
1485973800,240.7096683,243.5147816
1485977400,240.2252375,243.1029159
1485981000,241.8629824,245.0975176
1485984600,239.3066235,242.4549928
1485988200,239.9720024,242.8457076
1485991800,238.1321495,240.4787736
1485995400,234.4243287,236.3712331
1485999000,230.7060572,231.6532978
1486002600,229.15759,231.2679134
1486006200,229.2853469,230.200893
1486009800,232.016491,234.5859499
1486013400,231.3646238,234.0602368
1486017000,234.2538777,236.3539108
1486020600,239.969782,241.8825006
1486024200,234.7698954,237.8112259
1486027800,233.7010788,235.6422737
1486031400,234.7201482,236.3802725
1486035000,238.0803496,239.9291374
1486038600,237.5119802,239.9866493
1486042200,237.4229392,239.4883364
1486045800,238.4258443,241.5739233
1486049400,240.4690729,243.91916
1486053000,237.7623296,241.4295233
1486056600,236.359057,239.4609538
1486060200,238.966268,242.3259402
1486063800,239.2959295,242.6952569
1486067400,240.6466651,244.2392516
1486071000,241.8258796,245.3265161
1486074600,241.9986202,245.4776121
1486078200,240.688158,243.2919928
1486081800,235.138896,237.7891782
1486085400,235.6250954,236.6694497
1486089000,234.1707275,236.3051473
1486092600,229.0815936,229.8707767
1486096200,229.8539547,231.3952209
1486099800,228.9240531,230.4370997
1486103400,230.9338188,234.2366013
1486107000,235.0732207,237.2830865
1486110600,232.3094174,235.1880401
1486114200,232.2946577,234.7511361
1486117800,235.7651902,238.0224865
1486121400,236.8490435,238.457665
1486125000,234.5478876,237.291374
1486128600,235.9538585,238.9223235
1486132200,239.5644816,242.6353745
1486135800,240.1485845,243.5457779
1486139400,239.5870996,243.1858788
1486143000,237.7216043,240.8286046
1486146600,238.9792705,242.1409276
1486150200,241.9768814,245.4637397
1486153800,238.5701108,241.761711
1486157400,237.3920556,240.7693617
1486161000,237.5752823,240.731937
1486164600,236.871307,239.6183115
1486168200,233.5309134,236.6502392
1486171800,231.2834245,233.2189269
1486175400,229.0946051,231.5802317
1486179000,231.1004495,233.4159469
1486182600,227.5988662,230.3393567
1486186200,229.7036294,231.6483494
1486189800,233.3454131,235.5923053
1486193400,238.9079552,241.0581114
1486197000,235.4225223,237.834443
1486200600,237.4352033,239.1061189
1486204200,237.4884396,239.866227
1486207800,238.8888506,241.5514611
1486211400,235.9965629,238.7372188
1486215000,236.2080839,239.0468717
1486218600,237.4194264,240.6756131
1486222200,239.5383032,242.8217416
1486225800,238.3767509,241.7556522
1486229400,238.2926345,241.3269908
1486233000,238.5247749,241.3601007
1486236600,239.5630326,242.2076078
1486240200,240.8232767,244.0198628
1486243800,241.6341667,244.7499902
1486247400,241.9981349,244.9892247
1486251000,242.0333219,244.4515964
1486254600,240.3052652,242.8607232
1486258200,239.2037998,240.9170439
1486261800,236.1142445,238.2749219
1486265400,233.3470754,235.548238
1486269000,233.4967808,235.7741946
1486272600,231.8303814,233.3528249
1486276200,234.0797543,235.0234277
1486279800,237.4889877,239.6179461
1486283400,236.9322291,238.7080766
1486287000,237.223251,238.9724087
1486290600,237.3182253,239.7388017
1486294200,237.1717079,240.2626023
1486297800,234.605978,236.5716839
